10,10
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,alive,alive,alive,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
